Fecha,TMAX,TMIN,Prec,TMEDIA,GD_Tb2,Fuente,TipoDato,CalidadDato,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-28,15.000,3.000,0.000,9.000,7.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-07-29,14.000,3.000,0.300,8.500,6.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-07-30,19.000,6.000,1.000,12.500,10.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-07-31,19.000,12.000,1.900,15.500,13.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-01,15.000,4.000,0.200,9.500,7.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-02,14.000,3.000,0.600,8.500,6.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-03,19.000,4.000,0.000,11.500,9.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-04,13.000,4.000,0.000,8.500,6.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-05,18.000,2.000,0.000,10.000,8.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-06,17.000,6.000,0.000,11.500,9.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-07,13.000,4.000,0.000,8.500,6.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-08,20.000,2.000,0.000,11.000,9.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-09,22.000,8.000,0.000,15.000,13.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
2026-08-10,25.000,9.000,0.000,17.000,15.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-07-28T12:56:39+00:00
