Fecha,TMAX,TMIN,Prec,TMEDIA,GD_Tb2,Fuente,TipoDato,CalidadDato,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-08-14,16.000,2.000,0.000,9.000,7.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-15,16.000,7.000,3.600,11.500,9.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-16,19.000,7.000,0.600,13.000,11.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-17,13.000,3.000,0.000,8.000,6.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-18,16.000,2.000,0.300,9.000,7.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-19,15.000,2.000,0.000,8.500,6.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-20,18.000,1.000,0.000,9.500,7.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-21,12.000,3.000,2.400,7.500,5.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-22,10.000,-1.000,0.000,4.500,2.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-23,11.000,1.000,0.000,6.000,4.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-24,11.000,3.000,0.600,7.000,5.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-25,13.000,3.000,0.000,8.000,6.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-26,13.000,5.000,0.000,9.000,7.000,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
2026-08-27,21.000,4.000,0.000,12.500,10.500,METEOBAHIA_XML_CORONEL_FALCON,Pronostico,Pronostico_deterministico_Coronel_Falcon,,,,2026-08-14T11:48:32+00:00
